Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
3 Libras,A Perfect Circle,Mer De Noms,2000,219640,3,0.518,0.744,9,-8.248,1,0.0374,0.00383,0.007,0.078,0.211,144.019,58
By And Down The River,A Perfect Circle,Eat The Elephant,2003,304906,3,0.231,0.64,9,-5.454,0,0.0356,0.0012,0.104,0.119,0.0497,97.503,45
Counting Bodies Like Sheep To The Rhythm Of The War Drums,A Perfect Circle,eMOTIVe,2004,336440,4,0.632,0.938,8,-6.999,1,0.339,0.0467,0.0057,0.098,0.227,135.787,49
Imagine,A Perfect Circle,eMOTIVe,2004,288000,4,0.537,0.495,8,-6.188,1,0.0255,0.127,0.00453,0.109,0.155,73.019,46
Judith,A Perfect Circle,Mer De Noms,2000,247266,3,0.366,0.894,11,-4.682,0,0.0568,0.0000345,0.17,0.267,0.304,82.305,65
Pet,A Perfect Circle,Thirteenth Step,2004,274333,4,0.542,0.806,8,-4.973,1,0.0482,0.0021,0.436,0.291,0.333,140.155,58
Rose,A Perfect Circle,Mer De Noms,2003,205973,3,0.499,0.664,11,-8.656,1,0.0446,0.00613,0.304,0.116,0.179,119.831,47
The Noose,A Perfect Circle,Thirteenth Step,2004,293173,4,0.679,0.409,1,-10.41,1,0.0313,0.0695,0.265,0.079,0.31,131.983,55
The Outsider,A Perfect Circle,Thirteenth Step,2004,246000,4,0.328,0.843,6,-6.644,1,0.0887,0.000111,0.801,0.0496,0.422,113.329,62
Weak And Powerless,A Perfect Circle,Thirteenth Step,2003,195133,3,0.483,0.841,1,-7.494,0,0.0523,0.000172,0.861,0.108,0.13,159.747,60
Balls to the Wall,Accept,Balls To The Wall,1983,342600,4,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,57
Dark Side of My Heart,Accept,Blind Rage,1993,276986,4,0.507,0.941,6,-4.349,0,0.0445,0.000412,0.0138,0.287,0.735,151.08,33
Fast as a Shark,Accept,Restless And Wild,1982,228666,4,0.431,0.95,2,-11.399,1,0.117,0.000109,0.248,0.232,0.162,140.044,44
I'm A Rebel,Accept,I'm A Rebel,1980,238259,4,0.554,0.865,4,-8.188,1,0.0543,0.0341,0.00135,0.304,0.535,146.987,28
Metal Heart,Accept,Metal Heart,1985,323666,4,0.32,0.553,7,-14.959,1,0.0524,0.00491,0.404,0.119,0.173,116.156,40
Midnight Mover,Accept,Metal Heart,1985,186493,4,0.394,0.763,1,-12.27,0,0.0485,0.00173,0.000328,0.0996,0.69,146.532,35
Princess of the Dawn,Accept,Restless And Wild,1981,375466,4,0.649,0.584,2,-10.308,1,0.0421,0.038,0.117,0.446,0.478,128.851,44
Restless and Wild,Accept,Restless And Wild,1982,252093,4,0.429,0.855,4,-9.909,0,0.0557,0.00105,0.011,0.0941,0.601,145.272,35
Starlight,Accept,Breaker,1984,230893,4,0.241,0.877,11,-9.384,0,0.078,0.000147,0.213,0.372,0.399,165.491,26
